Period,Type 1 Departments - Major A&E,Percentage in 4 hours or less (all)
01/10/2023,"1,413,597",0.703649098
01/11/2023,"1,386,008",0.709924174
01/12/2023,"1,384,220",0.743452615
01/01/2024,"1,397,975",0.744859569
01/02/2024,"1,347,642",0.739607216
01/03/2024,"1,462,878",0.745885143
01/04/2024,"1,372,028",0.75217091
01/05/2024,"1,472,721",0.763334816
01/06/2024,"1,405,658",0.742171612
01/07/2024,"1,425,569",0.730848417
01/08/2024,"1,320,157",0.721815742
01/09/2024,"1,364,482",0.711213956
01/10/2024,"1,453,242",0.730067219
01/11/2024,"1,428,050",0.73461343
01/12/2024,"1,440,311",0.749798247
01/01/2025,"1,359,026",0.747838119
01/02/2025,"1,271,336",0.75402383
01/03/2025,"1,450,686",0.755564873
01/04/2025,"1,388,613",0.764078201
01/05/2025,"1,453,480",0.758762154
01/06/2025,"1,428,563",0.750504064
01/07/2025,"1,469,050",0.741471518
01/08/2025,"1,383,870",0.742029789
01/09/2025,"1,417,440",0.738494595
01/10/2025,"1,481,222",0.724608299
01/11/2025,"1,448,958",0.740553024
,,
,,
,,
