date,year,eddr_pct,lci_95,uci_95
31/03/2017,2017,67.9,61.2,73.6
31/03/2018,2018,67.5,60.8,73.1
31/03/2019,2019,68.7,61.9,74.4
31/03/2020,2020,67.4,60.7,73
31/03/2021,2021,61.6,55.5,66.7
31/03/2022,2022,62,55.8,67.1
31/03/2023,2023,63,56.8,68.3
31/03/2024,2024,64.8,58.3,70.2
31/03/2025,2025,65.6,59.2,71.1
